date_reg,type,maker,model,colour,fuel,state
2025-01-02,jip,BMW,iX,grey,electric,W.P. Kuala Lumpur
2025-01-02,jip,BMW,iX,grey,electric,W.P. Kuala Lumpur
2025-01-02,jip,BMW,iX3,white,electric,W.P. Kuala Lumpur
2025-01-02,motokar_pelbagai_utiliti,BYD,M6,grey,electric,Rakan Niaga
2025-01-02,motokar_pelbagai_utiliti,BYD,M6,grey,electric,Rakan Niaga
2025-01-02,jip,BYD,Sealion,grey,electric,Rakan Niaga
2025-01-02,jip,BYD,Sealion,black,electric,Rakan Niaga
2025-01-02,window_van,Cam,Kingo,white,greendiesel,Sabah
2025-01-02,jip,Chery,Jaecoo J7,white,petrol,Rakan Niaga
2025-01-02,jip,Chery,Jaecoo J7,black,petrol,Rakan Niaga
2025-01-02,jip,Chery,Jaecoo J7,black,petrol,Rakan Niaga
2025-01-02,jip,Chery,Jaecoo J7,green,petrol,Rakan Niaga
2025-01-02,jip,Chery,Jaecoo J7,white,petrol,Rakan Niaga
2025-01-02,jip,Chery,Jaecoo J7,black,petrol,Rakan Niaga
2025-01-02,jip,Chery,Jaecoo J7,black,petrol,Rakan Niaga
2025-01-02,jip,Chery,Jaecoo J7,black,petrol,Rakan Niaga
2025-01-02,jip,Chery,Jaecoo J7,white,petrol,Rakan Niaga
2025-01-02,jip,Chery,Jaecoo J7,white,petrol,Pulau Pinang
2025-01-02,jip,Chery,Jaecoo J7,green,petrol,W.P. Kuala Lumpur
2025-01-02,jip,Chery,Jaecoo J7,silver,petrol,W.P. Kuala Lumpur
2025-01-02,jip,Chery,Jaecoo J7,white,petrol,Rakan Niaga
2025-01-02,jip,Chery,Jaecoo J7,black,petrol,Rakan Niaga
2025-01-02,jip,Chery,Jaecoo J7,white,petrol,Negeri Sembilan
2025-01-02,jip,Chery,Jaecoo J7,silver,petrol,Rakan Niaga
2025-01-02,jip,Chery,Jaecoo J7,green,petrol,Pulau Pinang
2025-01-02,jip,Chery,Jaecoo J7,silver,petrol,Rakan Niaga
2025-01-02,jip,Chery,Jaecoo J7,green,petrol,Rakan Niaga
2025-01-02,jip,Chery,Jaecoo J7,black,petrol,Pulau Pinang
2025-01-02,jip,Chery,Jaecoo J7,black,petrol,Sarawak
2025-01-02,jip,Chery,Jaecoo J7,white,petrol,Rakan Niaga
2025-01-02,jip,Chery,Jaecoo J7,black,petrol,Rakan Niaga
2025-01-02,jip,Chery,Jaecoo J7,green,petrol,Rakan Niaga
2025-01-02,jip,Chery,Jaecoo J7,black,petrol,Rakan Niaga
2025-01-02,jip,Chery,Jaecoo J7,black,petrol,W.P. Kuala Lumpur
2025-01-02,jip,Chery,Jaecoo J7,silver,petrol,Rakan Niaga
2025-01-02,jip,Chery,Jaecoo J7,silver,petrol,Rakan Niaga
2025-01-02,jip,Chery,Jaecoo J7,silver,petrol,Rakan Niaga
2025-01-02,jip,Chery,Jaecoo J7,black,hybrid_petrol,W.P. Kuala Lumpur
2025-01-02,jip,Chery,Jaecoo J7,silver,petrol,Rakan Niaga
2025-01-02,jip,Chery,Jaecoo J7,black,petrol,Rakan Niaga
2025-01-02,jip,Chery,Jaecoo J7,black,petrol,Rakan Niaga
2025-01-02,jip,Chery,Omoda 5,black,petrol,W.P. Kuala Lumpur
2025-01-02,jip,Chery,Omoda 5,black,petrol,Rakan Niaga
2025-01-02,jip,Chery,Omoda 5,grey,petrol,Rakan Niaga
2025-01-02,jip,Chery,Omoda 5,green,electric,Rakan Niaga
2025-01-02,jip,Chery,Omoda 5,grey,petrol,Rakan Niaga
2025-01-02,jip,Chery,Omoda 5,black,petrol,Rakan Niaga
2025-01-02,jip,Chery,Omoda 9,black,petrol,Rakan Niaga
2025-01-02,jip,Chery,Omoda 9,white,petrol,Perak
2025-01-02,jip,Chery,Tiggo,black,petrol,Rakan Niaga
2025-01-02,motokar,Dong Feng,Box E3,blue,electric,Rakan Niaga
2025-01-02,motokar,Dong Feng,Box E3,purple,electric,W.P. Kuala Lumpur
2025-01-02,motokar,Dong Feng,Box E3,green,electric,Rakan Niaga
2025-01-02,motokar,Dong Feng,Box E3,green,electric,W.P. Kuala Lumpur
2025-01-02,pick_up,Ford,Ranger,yellow,greendiesel,Rakan Niaga
2025-01-02,pick_up,Ford,Ranger,black,greendiesel,Rakan Niaga
2025-01-02,pick_up,Ford,Ranger,white,greendiesel,Rakan Niaga
2025-01-02,pick_up,Ford,Ranger,grey,greendiesel,Rakan Niaga
2025-01-02,pick_up,Ford,Ranger,grey,greendiesel,Rakan Niaga
2025-01-02,pick_up,Ford,Ranger,black,petrol,W.P. Kuala Lumpur
2025-01-02,pick_up,Ford,Ranger,black,greendiesel,Rakan Niaga
2025-01-02,pick_up,Ford,Ranger,white,greendiesel,W.P. Kuala Lumpur
2025-01-02,pick_up,Ford,Ranger,white,greendiesel,Rakan Niaga
2025-01-02,pick_up,Ford,Ranger,black,greendiesel,Rakan Niaga
2025-01-02,pick_up,Ford,Ranger,white,greendiesel,Sabah
2025-01-02,pick_up,Ford,Ranger,white,greendiesel,Rakan Niaga
2025-01-02,pick_up,Ford,Ranger,black,petrol,Rakan Niaga
2025-01-02,pick_up,Ford,Ranger,black,petrol,Rakan Niaga
2025-01-02,pick_up,Ford,Ranger,black,greendiesel,Rakan Niaga
2025-01-02,pick_up,Ford,Ranger,grey,greendiesel,Rakan Niaga
2025-01-02,pick_up,Ford,Ranger,grey,greendiesel,Rakan Niaga
2025-01-02,jip,GAC,GS3,grey,petrol,Rakan Niaga
2025-01-02,jip,GAC,GS3,black,petrol,Rakan Niaga
2025-01-02,jip,GAC,GS3,grey,petrol,W.P. Kuala Lumpur
2025-01-02,jip,Great Wall,Haval H6,green,hybrid_petrol,W.P. Kuala Lumpur
2025-01-02,jip,Great Wall,Haval H6,black,hybrid_petrol,Rakan Niaga
2025-01-02,jip,Great Wall,Tank 300,white,petrol,Johor
2025-01-02,jip,Great Wall,Tank 300,black,petrol,Sabah
2025-01-02,motokar,Honda,Civic,white,petrol,Selangor
2025-01-02,motokar,Honda,Civic,blue,petrol,Selangor
2025-01-02,motokar,Honda,Civic,white,petrol,Rakan Niaga
2025-01-02,window_van,Honda,STEPWGN,black,petrol,Rakan Niaga
2025-01-02,window_van,Honda,STEPWGN,white,petrol,Rakan Niaga
2025-01-02,window_van,Honda,STEPWGN,white,petrol,W.P. Kuala Lumpur
2025-01-02,window_van,Honda,STEPWGN,grey,petrol,Rakan Niaga
2025-01-02,window_van,Honda,STEPWGN,black,petrol,Rakan Niaga
2025-01-02,motokar,Honda,WR-V,white,petrol,Rakan Niaga
2025-01-02,motokar,Honda,WR-V,red,petrol,Selangor
2025-01-02,window_van,Hyundai,Staria,black,diesel,Rakan Niaga
2025-01-02,pick_up,Isuzu,D-Max,white,greendiesel,Rakan Niaga
2025-01-02,pick_up,Isuzu,D-Max,silver,greendiesel,Rakan Niaga
2025-01-02,pick_up,Isuzu,D-Max,blue,greendiesel,Rakan Niaga
2025-01-02,pick_up,Isuzu,D-Max,white,greendiesel,Rakan Niaga
2025-01-02,pick_up,Isuzu,D-Max,grey,greendiesel,Rakan Niaga
2025-01-02,pick_up,Isuzu,D-Max,silver,greendiesel,Rakan Niaga
2025-01-02,pick_up,Isuzu,D-Max,black,greendiesel,Rakan Niaga
2025-01-02,pick_up,Isuzu,D-Max,white,greendiesel,Rakan Niaga
2025-01-02,pick_up,Isuzu,D-Max,silver,greendiesel,Rakan Niaga
2025-01-02,pick_up,Isuzu,D-Max,white,greendiesel,Rakan Niaga
2025-01-02,jip,Jeep,Wrangler,black,petrol,W.P. Kuala Lumpur
2025-01-02,window_van,Kia,Carnival,blue,diesel,Johor
2025-01-02,jip,Lamborghini,Urus,yellow,petrol,Sarawak
2025-01-02,jip,Land Rover,Defender,brown,diesel,W.P. Kuala Lumpur
2025-01-02,jip,Land Rover,Defender,black,petrol,W.P. Kuala Lumpur
2025-01-02,jip,Land Rover,Defender,silver,petrol,W.P. Kuala Lumpur
2025-01-02,jip,Land Rover,Defender,black,petrol,W.P. Kuala Lumpur
2025-01-02,jip,Land Rover,Discovery,blue,petrol,Rakan Niaga
2025-01-02,jip,Land Rover,Range Rover Velar,black,petrol,W.P. Kuala Lumpur
2025-01-02,motokar,Lexus,IS,grey,petrol,W.P. Kuala Lumpur
2025-01-02,motokar,Lexus,IS,grey,petrol,Rakan Niaga
2025-01-02,motokar,Lexus,IS,white,petrol,W.P. Kuala Lumpur
2025-01-02,jip,Lexus,LX,black,petrol,Sarawak
2025-01-02,jip,Lexus,LX,white,petrol,W.P. Kuala Lumpur
2025-01-02,jip,Lexus,LX,white,petrol,Sarawak
2025-01-02,jip,Lexus,RX,white,petrol,Johor
2025-01-02,jip,Lexus,RX,white,petrol,W.P. Kuala Lumpur
2025-01-02,jip,Lexus,RX,black,petrol,Rakan Niaga
2025-01-02,jip,Lexus,RX,black,petrol,Rakan Niaga
2025-01-02,jip,Lexus,RX,white,petrol,Pulau Pinang
2025-01-02,jip,Lexus,RX,white,petrol,Pulau Pinang
2025-01-02,jip,Lexus,RX,black,petrol,Melaka
2025-01-02,jip,Lexus,RX,white,petrol,Rakan Niaga
2025-01-02,jip,Lexus,RX,black,petrol,W.P. Kuala Lumpur
2025-01-02,jip,Lexus,RX,white,petrol,Johor
2025-01-02,jip,Lexus,RX,black,petrol,Johor
2025-01-02,jip,Lexus,RX,black,petrol,W.P. Kuala Lumpur
2025-01-02,motokar,MG,MG4,white,electric,Rakan Niaga
2025-01-02,motokar,MG,MG5,white,petrol,Perlis
2025-01-02,motokar,MG,MG5,yellow,petrol,Rakan Niaga
2025-01-02,motokar,MG,MG5,yellow,petrol,Rakan Niaga
2025-01-02,motokar,MG,MG5,yellow,petrol,Pulau Pinang
2025-01-02,motokar,MG,MG5,yellow,petrol,Pulau Pinang
2025-01-02,motokar,MG,MG5,black,petrol,Rakan Niaga
2025-01-02,motokar,Mazda,CX-30,grey,petrol,Rakan Niaga
2025-01-02,motokar,Mazda,CX-30,grey,petrol,Rakan Niaga
2025-01-02,motokar,Mazda,CX-30,grey,petrol,Rakan Niaga
2025-01-02,motokar,Mazda,CX-30,red,petrol,Rakan Niaga
2025-01-02,motokar,Mazda,CX-30,blue,petrol,Rakan Niaga
2025-01-02,motokar,Mazda,CX-30,white,petrol,Rakan Niaga
2025-01-02,motokar,Mazda,CX-30,blue,petrol,Rakan Niaga
2025-01-02,motokar,Mazda,CX-30,red,petrol,Rakan Niaga
2025-01-02,jip,Mazda,CX-5,grey,petrol,Rakan Niaga
2025-01-02,jip,Mazda,CX-5,grey,petrol,Rakan Niaga
2025-01-02,jip,Mazda,CX-5,gold,petrol,Rakan Niaga
2025-01-02,jip,Mazda,CX-5,gold,petrol,Rakan Niaga
2025-01-02,jip,Mazda,CX-5,gold,petrol,Rakan Niaga
2025-01-02,jip,Mazda,CX-5,grey,petrol,Rakan Niaga
2025-01-02,jip,Mazda,CX-5,grey,petrol,Rakan Niaga
2025-01-02,jip,Mazda,CX-5,red,petrol,Rakan Niaga
2025-01-02,jip,Mazda,CX-5,red,petrol,Rakan Niaga
2025-01-02,jip,Mazda,CX-5,red,petrol,Rakan Niaga
2025-01-02,jip,Mazda,CX-5,blue,petrol,Rakan Niaga
2025-01-02,jip,Mazda,CX-5,grey,petrol,Rakan Niaga
2025-01-02,jip,Mazda,CX-5,blue,petrol,Rakan Niaga
2025-01-02,jip,Mazda,CX-8,grey,petrol,W.P. Kuala Lumpur
2025-01-02,motokar,Mazda,MX-5,silver,petrol,Rakan Niaga
2025-01-02,motokar,Mercedes Benz,A-Class,grey,petrol,Negeri Sembilan
2025-01-02,motokar,Mercedes Benz,A-Class,black,petrol,W.P. Kuala Lumpur
2025-01-02,motokar,Mercedes Benz,A-Class,silver,petrol,Rakan Niaga
2025-01-02,motokar,Mercedes Benz,A-Class,white,petrol,Negeri Sembilan
2025-01-02,motokar,Mercedes Benz,A-Class,white,petrol,W.P. Kuala Lumpur
2025-01-02,motokar,Mercedes Benz,A-Class,silver,petrol,Selangor
2025-01-02,motokar,Mercedes Benz,A-Class,black,petrol,Rakan Niaga
2025-01-02,motokar,Mercedes Benz,B-Class,red,petrol,Rakan Niaga
2025-01-02,motokar,Mercedes Benz,C-Class,grey,petrol,W.P. Kuala Lumpur
2025-01-02,motokar,Mercedes Benz,C-Class,blue,hybrid_petrol,Rakan Niaga
2025-01-02,motokar,Mercedes Benz,CLA,black,petrol,Rakan Niaga
2025-01-02,motokar,Mercedes Benz,CLA,beige,petrol,Rakan Niaga
2025-01-02,motokar,Mercedes Benz,CLA,grey,petrol,Rakan Niaga
2025-01-02,motokar,Mercedes Benz,E-Class,black,hybrid_petrol,Rakan Niaga
2025-01-02,motokar,Mercedes Benz,E-Class,white,hybrid_petrol,Rakan Niaga
2025-01-02,motokar,Mercedes Benz,E-Class,blue,petrol,Rakan Niaga
2025-01-02,motokar,Mercedes Benz,E-Class,grey,hybrid_petrol,Rakan Niaga
2025-01-02,motokar,Mercedes Benz,E-Class,grey,hybrid_petrol,W.P. Kuala Lumpur
2025-01-02,motokar,Mercedes Benz,E-Class,grey,petrol,W.P. Kuala Lumpur
2025-01-02,motokar,Mercedes Benz,E-Class,white,petrol,Rakan Niaga
2025-01-02,jip,Mercedes Benz,EQA,pink,electric,W.P. Kuala Lumpur
2025-01-02,jip,Mercedes Benz,EQS,silver,electric,Selangor
2025-01-02,jip,Mercedes Benz,GLA,black,hybrid_petrol,Sabah
2025-01-02,jip,Mercedes Benz,GLC,silver,petrol,Rakan Niaga
2025-01-02,jip,Mercedes Benz,GLC,white,petrol,W.P. Kuala Lumpur
2025-01-02,jip,Mercedes Benz,GLC,black,hybrid_petrol,W.P. Kuala Lumpur
2025-01-02,jip,Mercedes Benz,GLC,white,hybrid_petrol,Rakan Niaga
2025-01-02,jip,Mercedes Benz,GLC,black,petrol,Sarawak
2025-01-02,motokar,Mini,John Cooper Works,green,petrol,Selangor
2025-01-02,pick_up,Mitsubishi,Triton,black,greendiesel,Rakan Niaga
2025-01-02,motokar_pelbagai_utiliti,Mitsubishi,Xpander,grey,petrol,Rakan Niaga
2025-01-02,motokar_pelbagai_utiliti,Mitsubishi,Xpander,red,petrol,Rakan Niaga
2025-01-02,motokar_pelbagai_utiliti,Mitsubishi,Xpander,grey,petrol,Rakan Niaga
2025-01-02,motokar,Nissan,Almera,grey,petrol,Rakan Niaga
2025-01-02,window_van,Nissan,Elgrand,white,petrol,W.P. Kuala Lumpur
2025-01-02,window_van,Nissan,Serena,black,petrol,Rakan Niaga
2025-01-02,motokar_pelbagai_utiliti,Perodua,Alza,brown,petrol,Rakan Niaga
2025-01-02,motokar_pelbagai_utiliti,Perodua,Alza,red,petrol,Rakan Niaga
2025-01-02,motokar_pelbagai_utiliti,Perodua,Alza,black,petrol,Rakan Niaga
2025-01-02,motokar_pelbagai_utiliti,Perodua,Alza,brown,petrol,Pulau Pinang
2025-01-02,motokar_pelbagai_utiliti,Perodua,Alza,black,petrol,Selangor
2025-01-02,motokar_pelbagai_utiliti,Perodua,Alza,red,petrol,Rakan Niaga
2025-01-02,motokar_pelbagai_utiliti,Perodua,Alza,brown,petrol,Rakan Niaga
2025-01-02,jip,Perodua,Aruz,black,petrol,Rakan Niaga
2025-01-02,motokar,Perodua,Axia,silver,petrol,Rakan Niaga
2025-01-02,motokar,Perodua,Axia,blue,petrol,Rakan Niaga
2025-01-02,motokar,Perodua,Axia,silver,petrol,Rakan Niaga
2025-01-02,motokar,Perodua,Axia,white,petrol,Rakan Niaga
2025-01-02,motokar,Perodua,Axia,grey,petrol,Rakan Niaga
2025-01-02,motokar,Perodua,Bezza,silver,petrol,Rakan Niaga
2025-01-02,motokar,Perodua,Bezza,silver,petrol,Rakan Niaga
2025-01-02,motokar,Perodua,Bezza,red,petrol,Rakan Niaga
2025-01-02,motokar,Perodua,Bezza,grey,petrol,Rakan Niaga
2025-01-02,motokar,Perodua,Bezza,red,petrol,Rakan Niaga
2025-01-02,motokar,Perodua,Bezza,grey,petrol,Rakan Niaga
2025-01-02,motokar,Perodua,Myvi,grey,petrol,Rakan Niaga
2025-01-02,motokar,Perodua,Myvi,white,petrol,Rakan Niaga
2025-01-02,motokar,Perodua,Myvi,silver,petrol,Pahang
2025-01-02,motokar,Perodua,Myvi,red,petrol,Rakan Niaga
2025-01-02,motokar,Perodua,Myvi,grey,petrol,Kedah
2025-01-02,jip,Peugeot,3008,grey,petrol,Rakan Niaga
2025-01-02,jip,Peugeot,408,blue,petrol,Rakan Niaga
2025-01-02,pick_up,Peugeot,Landtrek,white,diesel,Rakan Niaga
2025-01-02,motokar,Porsche,911 Carrera,grey,petrol,Johor
2025-01-02,motokar,Porsche,911 GT3,yellow,petrol,W.P. Kuala Lumpur
2025-01-02,jip,Porsche,Cayenne,orange,petrol,Selangor
2025-01-02,jip,Porsche,Cayenne,black,petrol,Johor
2025-01-02,jip,Porsche,Cayenne,blue,petrol,Sarawak
2025-01-02,jip,Porsche,Macan,white,petrol,Rakan Niaga
2025-01-02,motokar,Proton,Iriz,silver,petrol,Rakan Niaga
2025-01-02,motokar,Proton,Iriz,red,petrol,Rakan Niaga
2025-01-02,motokar,Proton,Persona,grey,petrol,Rakan Niaga
2025-01-02,motokar,Proton,Persona,maroon,petrol,Rakan Niaga
2025-01-02,motokar,Proton,Persona,silver,petrol,Rakan Niaga
2025-01-02,motokar,Proton,Persona,grey,petrol,Kedah
2025-01-02,motokar,Proton,S70,blue,petrol,Rakan Niaga
2025-01-02,motokar,Proton,S70,green,petrol,Rakan Niaga
2025-01-02,motokar,Proton,S70,black,petrol,W.P. Kuala Lumpur
2025-01-02,motokar,Proton,S70,grey,petrol,Selangor
2025-01-02,motokar,Proton,S70,black,petrol,Rakan Niaga
2025-01-02,motokar,Proton,S70,green,petrol,Rakan Niaga
2025-01-02,motokar,Proton,S70,blue,petrol,Rakan Niaga
2025-01-02,motokar,Proton,S70,grey,petrol,Rakan Niaga
2025-01-02,motokar,Proton,S70,blue,petrol,Rakan Niaga
2025-01-02,motokar,Proton,Saga,silver,petrol,Rakan Niaga
2025-01-02,motokar,Proton,Saga,white,petrol,Rakan Niaga
2025-01-02,motokar,Proton,Saga,grey,petrol,Rakan Niaga
2025-01-02,motokar,Proton,Saga,grey,petrol,Rakan Niaga
2025-01-02,motokar,Proton,Saga,red,petrol,Rakan Niaga
2025-01-02,motokar,Proton,Saga,grey,petrol,Rakan Niaga
2025-01-02,motokar,Proton,Saga,red,petrol,Rakan Niaga
2025-01-02,motokar,Proton,Saga,silver,petrol,Rakan Niaga
2025-01-02,motokar,Proton,Saga,red,petrol,Rakan Niaga
2025-01-02,motokar,Proton,Saga,maroon,petrol,Rakan Niaga
2025-01-02,motokar,Proton,Saga,grey,petrol,Rakan Niaga
2025-01-02,motokar,Proton,Saga,red,petrol,Rakan Niaga
2025-01-02,motokar,Proton,Saga,silver,petrol,Rakan Niaga
2025-01-02,motokar,Proton,Saga,grey,petrol,Rakan Niaga
2025-01-02,motokar,Proton,Saga,grey,petrol,Rakan Niaga
2025-01-02,jip,Proton,X50,grey,petrol,Rakan Niaga
2025-01-02,jip,Proton,X50,silver,petrol,W.P. Kuala Lumpur
2025-01-02,jip,Proton,X50,white,petrol,W.P. Kuala Lumpur
2025-01-02,jip,Proton,X70,grey,petrol,W.P. Kuala Lumpur
2025-01-02,jip,Proton,X70,blue,petrol,Rakan Niaga
2025-01-02,jip,Proton,X70,grey,petrol,W.P. Kuala Lumpur
2025-01-02,jip,Proton,X90,white,petrol,Selangor
2025-01-02,jip,Proton,X90,grey,petrol,Rakan Niaga
2025-01-02,motokar,Subaru,BRZ,blue,petrol,Selangor
2025-01-02,motokar,Subaru,BRZ,silver,petrol,W.P. Kuala Lumpur
2025-01-02,jip,Subaru,Forester,black,petrol,Rakan Niaga
2025-01-02,jip,Suzuki,Jimny,grey,petrol,W.P. Kuala Lumpur
2025-01-02,jip,Suzuki,Jimny Sierra,grey,petrol,Rakan Niaga
2025-01-02,jip,Suzuki,Jimny Sierra,grey,petrol,Selangor
2025-01-02,jip,Suzuki,Jimny Sierra,green,petrol,Rakan Niaga
2025-01-02,motokar,Suzuki,Swift,grey,petrol,W.P. Kuala Lumpur
2025-01-02,motokar,Suzuki,Swift,black,petrol,W.P. Kuala Lumpur
